toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source,toxin_type_encoded,binding_type_encoded,binding_site_encoded
Phospholipase A2,Specific,0.0589512053783903,Enzymatic Site,SYN_TOX_PLA2_141,SYN_MAB_25_H,synthetic,3,4,7
Cysteine-Rich Secretory Protein,Linear,0.24809586853685578,CDR-H3,XP_013911763.1,8SXP_L,real,0,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.34631291160969696,Multiple CDRs,KAG8124478.1,1CDR_A,real,0,1,14
Snake Venom Serine Protease,Mixed,-0.20533751750686788,Multiple CDRs,E5L0E4.1,9MIH_L,real,5,3,14
Snake Venom Serine Protease,Conformational,-0.016835111269144235,CDR-H3,E0Y418.1,Q9HCN6.4,real,5,1,2
Snake Venom Serine Protease,Conformational,-0.18526698873368608,Multiple CDRs,Q6T5L0.2,6IOM_A,real,5,1,14
Snake Venom Metalloproteinase,Conformational,-0.18590924565442787,CDR-H3,P82942.1,6ION_A,real,4,1,2
Snake Venom Metalloproteinase,Conformational,-0.30296056945962424,CDR-H3,P17347.3,4V1D_E,real,4,1,2
Snake Venom Serine Protease,Linear,-0.28128439838458785,CDR-H3,B0FXM1.1,4V1D_E,real,5,2,2
Phospholipase A2,Conformational,-0.35305660927748606,CDR-H3,AAB36471.1,4V1D_D,real,3,1,2
Snake Venom Metalloproteinase,Linear,0.06794280226877579,CDR-H3,F8RKV9.1,9CLP_C,real,4,2,2
Snake Venom Metalloproteinase,Conformational,0.5249086013765795,CDR-H3,P0C6R9.2,9MIB_R,real,4,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.2795181918525479,Multiple CDRs,CAP74088.1,9CLP_C,real,0,3,14
Cysteine-Rich Secretory Protein,Linear,-0.3890229968390279,CDR-H3,XP_015678374.1,Q9HCN6.4,real,0,2,2
Snake Venom Metalloproteinase,Linear,-0.4201724574950061,Multiple CDRs,A8QL59.1,9MI0_N,real,4,2,14
Snake Venom Serine Protease,Mixed,-0.3406931635532061,CDR-H3,Q5MCS0.1,9CLP_H,real,5,3,2
Snake Venom Serine Protease,Linear,-0.2965380002522061,CDR-H3,B0FXM1.1,4V1D_B,real,5,2,2
Snake Venom Metalloproteinase,Linear,0.7787606492997832,Multiple CDRs,F8S108.1,NP_000602.1,real,4,2,14
Snake Venom Metalloproteinase,Mixed,-0.3217465843913224,Multiple CDRs,F8RKW1.1,P13987.1,real,4,3,14
Snake Venom Serine Protease,Conformational,0.0021114678927394003,CDR-H3,A0A1I9KNP0.1,9CLP_C,real,5,1,2
Disintegrin,Linear,0.007570651719044853,CDR-H3,AAB27210.1,Q9HCN6.4,real,1,2,2
Snake Venom Metalloproteinase,Mixed,-0.19265294332221697,Multiple CDRs,Q5XUW8.1,9MIB_R,real,4,3,14
Snake Venom Serine Protease,Mixed,-0.4171217371214824,CDR-H3,P84787.1,9CU5_J,real,5,3,2
Cysteine-Rich Secretory Protein,Linear,-0.25463073617380244,CDR-H3,KAG8124478.1,4V1D_D,real,0,2,2
Cysteine-Rich Secretory Protein,Specific,-0.38260042763160973,CAP Domain,SYN_TOX_CRISP_161,SYN_MAB_22_H,synthetic,0,4,1
Cysteine-Rich Secretory Protein,Conformational,-0.24403349698156243,Multiple CDRs,BAP39957.1,NP_000602.1,real,0,1,14
Phospholipase A2,Specific,-0.17226128608866426,Enzymatic Site,SYN_TOX_PLA2_15,SYN_MAB_10_H,synthetic,3,4,7
Snake Venom Metalloproteinase,Specific,-0.21240234363502788,Catalytic Domain,SYN_TOX_SVMP_2,SYN_MAB_1_H,synthetic,4,4,4
Cysteine-Rich Secretory Protein,Conformational,-0.2510983231097224,Multiple CDRs,XP_039204466.1,6ION_A,real,0,1,14
Snake Venom Metalloproteinase,Conformational,-0.07431710567553694,Multiple CDRs,P0DM89.1,NP_001424713.1,real,4,1,14
Snake Venom Metalloproteinase,Mixed,-0.30585072560296245,Multiple CDRs,O42138.1,1CDS_A,real,4,3,14
Snake Venom Serine Protease,Mixed,-0.3996202360312679,Multiple CDRs,NP_001310176.1,9CU5_K,real,5,3,14
Three-Finger Toxin,Broad-spectrum,3.633110969306609,Multiple epitopes,SYN_TOX_3FTx_17,SYN_MAB_18_H,synthetic,6,0,15
Snake Venom Metalloproteinase,Linear,-0.4126259386762897,Multiple CDRs,P84035.1,9B7V_H,real,4,2,14
Snake Venom Metalloproteinase,Linear,-0.372806009590297,CDR-H3,P0DM87.1,1CDQ_A,real,4,2,2
Snake Venom Metalloproteinase,Conformational,-0.39159202452199515,CDR-H3,P0C7A9.1,4V1D_E,real,4,1,2
Phospholipase A2,Linear,-0.02068865279359512,CDR-H3,XCA51353.1,9CU5_K,real,3,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.37682011534493337,Multiple CDRs,AAP20603.1,4V1D_B,real,0,1,14
Snake Venom Metalloproteinase,Mixed,-0.1826979610507188,Multiple CDRs,J3SBP9.1,4V1D_E,real,4,3,14
Snake Venom Serine Protease,Linear,-0.3837243772429079,CDR-H3,A8QL56.1,1CDR_A,real,5,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.38147647802031154,CDR-H3,XP_039190751.1,9CLP_H,real,0,1,2
Snake Venom Metalloproteinase,Mixed,-0.4148738378988861,CDR-H3,F8RKV9.1,NP_001265043.1,real,4,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.23552359278173332,Multiple CDRs,KAG8124481.1,1CDR_A,real,0,3,14
Disintegrin,Linear,-0.3273663324478134,Multiple CDRs,A43020,P13987.1,real,1,2,14
Snake Venom Metalloproteinase,Mixed,-0.404597727167017,Multiple CDRs,P82942.1,9CLP_C,real,4,3,14
Snake Venom Serine Protease,Mixed,-0.37344826651103885,Multiple CDRs,NP_001310176.1,8SXP_H,real,5,3,14
Snake Venom Metalloproteinase,Linear,-0.2963774360220206,Multiple CDRs,Q9W7S2.1,4V1D_A,real,4,2,14
Phospholipase A2,Conformational,-0.24082221237785334,Multiple CDRs,AAB25792.1,1CDR_A,real,3,1,14
Three-Finger Toxin,Broad-spectrum,2.507555715706572,Multiple epitopes,SYN_TOX_3FTx_122,SYN_MAB_81_H,synthetic,6,0,15
Snake Venom Metalloproteinase,Linear,-0.3962483871973733,CDR-H3,J9Z332.1,8U9Y_N,real,4,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.1574893769116024,Multiple CDRs,XP_039190751.1,P13987.1,real,0,1,14
Snake Venom Serine Protease,Conformational,-0.04043805310640604,Multiple CDRs,P84787.1,8SXP_L,real,5,1,14
Snake Venom Serine Protease,Mixed,-0.13051458624044604,Multiple CDRs,E0Y421.1,6IOM_A,real,5,3,14
Snake Venom Serine Protease,Conformational,0.07484706416675034,CDR-H3,P0DL27.1,6IOM_B,real,5,1,2
Snake Venom Serine Protease,Conformational,-0.2642645899849297,CDR-H3,Q8UUJ1.2,6IOM_A,real,5,1,2
Snake Venom Serine Protease,Mixed,-0.1900839156392497,Multiple CDRs,D8MIA1.1,4V1D_E,real,5,3,14
Snake Venom Metalloproteinase,Conformational,-0.11847226897653694,Multiple CDRs,Q698K8.3,9MIB_N,real,4,1,14
Snake Venom Serine Protease,Mixed,-0.12104129665950422,CDR-H3,A0A1I9KNP0.1,P00740.2,real,5,3,2
Snake Venom Serine Protease,Mixed,-0.41920907211389336,CDR-H3,D8MIA0.1,8SXP_L,real,5,3,2
Snake Venom Metalloproteinase,Broad-spectrum,3.1482069941465367,Multiple epitopes,SYN_TOX_SVMP_58,SYN_MAB_81_H,synthetic,4,0,15
Snake Venom Metalloproteinase,Conformational,-0.3670256973036206,CDR-H3,Q9PW36.1,4V1D_D,real,4,1,2
Snake Venom Serine Protease,Broad-spectrum,3.486997519837845,Multiple epitopes,SYN_TOX_SVSP_158,SYN_MAB_12_H,synthetic,5,0,15
Cysteine-Rich Secretory Protein,Mixed,-0.09486932713927514,Multiple CDRs,XP_070812689.1,Q9HCN6.4,real,0,3,14
Three-Finger Toxin,Broad-spectrum,2.5316403502343903,Multiple epitopes,SYN_TOX_3FTx_101,SYN_MAB_56_H,synthetic,6,0,15
Snake Venom Metalloproteinase,Mixed,-0.4156766590498134,CDR-H3,F8RKW0.1,9MIB_N,real,4,3,2
Cysteine-Rich Secretory Protein,Conformational,2.41329003285068e-05,Multiple CDRs,XP_026547764.1,P00740.2,real,0,1,14
Cysteine-Rich Secretory Protein,Mixed,0.059754026529317585,Multiple CDRs,6IMF_A,P00740.2,real,0,3,14
Snake Venom Metalloproteinase,Linear,-0.30055210600684246,CDR-H3,P84035.1,8SXP_H,real,4,2,2
Cysteine-Rich Secretory Protein,Linear,0.011263629013310315,CDR-H3,XP_034288378.1,1CDS_A,real,0,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.342780498545617,CDR-H3,XP_026568633.1,1CDR_A,real,0,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.31965924939891155,Multiple CDRs,XP_070812678.1,8U9Y_F,real,0,3,14
Snake Venom Serine Protease,Linear,-0.3437438839267297,CDR-H3,Q9YGJ9.1,1CDS_A,real,5,2,2
Snake Venom Metalloproteinase,Mixed,-0.319819813629097,CDR-H3,F8S108.1,4V1D_E,real,4,3,2
Snake Venom Metalloproteinase,Mixed,-0.367507389994177,Multiple CDRs,P0DL29.1,Q9HCN6.4,real,4,3,14
Phospholipase A2,Linear,-0.29589574333146423,CDR-H3,XCA51350.1,6ION_A,real,3,2,2
Snake Venom Serine Protease,Linear,0.46469701505703404,CDR-H3,A0A1I9KNP0.1,9CU6_K,real,5,2,2
Cysteine-Rich Secretory Protein,Linear,-0.39705120834830065,Multiple CDRs,XP_039190751.1,4V1D_B,real,0,2,14
Snake Venom Metalloproteinase,Conformational,-0.360442563866017,CDR-H3,C0HJU2.1,NP_001455.3,real,4,1,2
Disintegrin,Conformational,-0.36269046308861336,Multiple CDRs,AAB27210.1,1CDR_A,real,1,1,14
Cysteine-Rich Secretory Protein,Linear,-0.4094146540725806,CDR-H3,XP_026549114.1,9B7R_L,real,0,2,2
Snake Venom Serine Protease,Linear,-0.36012143540564606,Multiple CDRs,P0CJ41.1,9MIB_K,real,5,2,14
Phospholipase A2,Linear,-0.3787468861071588,Multiple CDRs,KAG5858194.1,1CDQ_A,real,3,2,14
Disintegrin,Mixed,0.08592599604954666,CDR-H3,ABD34834.1,NP_001455.3,real,1,3,2
Snake Venom Metalloproteinase,Mixed,-0.3748933445827079,Multiple CDRs,F8S108.1,4V1D_A,real,4,3,14
Cysteine-Rich Secretory Protein,Conformational,-0.1012918963466933,Multiple CDRs,XP_058038736.1,9CU6_D,real,0,1,14
Snake Venom Metalloproteinase,Linear,-0.16696266649254426,CDR-H3,P0C6R9.2,6IOM_B,real,4,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.35385943042841334,CDR-H3,XP_013911769.1,8SXP_H,real,0,1,2
Snake Venom Serine Protease,Conformational,0.17423632265154668,Multiple CDRs,P0C5B4.2,9B7V_L,real,5,1,14
Phospholipase A2,Broad-spectrum,2.2956109318617726,Multiple epitopes,SYN_TOX_PLA2_99,SYN_MAB_139_H,synthetic,3,0,15
Snake Venom Metalloproteinase,Mixed,-0.3471157327606243,CDR-H3,P84035.1,1CDS_A,real,4,3,2
Kunitz-type Serine Protease Inhibitor,Linear,-0.3219071486215079,Multiple CDRs,AEI52542.1,4V1D_A,real,2,2,14
Snake Venom Serine Protease,Conformational,-0.30328169791999515,CDR-H3,E0Y420.1,6IOM_B,real,5,1,2
Snake Venom Metalloproteinase,Linear,-0.34888193929266426,Multiple CDRs,U5PZ28.1,NP_001265043.1,real,4,2,14
Snake Venom Serine Protease,Conformational,-0.120238475508577,CDR-H3,P0DL27.1,1CDQ_A,real,5,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.35674958657175154,Multiple CDRs,XP_034288378.1,6IOM_B,real,0,3,14
Snake Venom Metalloproteinase,Mixed,-0.2400193912269261,Multiple CDRs,P0DM97.1,9CLP_L,real,4,3,14
Snake Venom Serine Protease,Mixed,-0.348079118141737,CDR-H3,P84788.1,P00740.2,real,5,3,2
Snake Venom Serine Protease,Mixed,-0.21352629324632608,Multiple CDRs,P0DL27.1,P13987.1,real,5,3,14
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,2.9234170718869,Multiple epitopes,SYN_TOX_KSPI_19,SYN_MAB_18_H,synthetic,2,0,15
Kunitz-type Serine Protease Inhibitor,Specific,-0.2445151896721188,Secondary Contact Site,SYN_TOX_KSPI_194,SYN_MAB_83_H,synthetic,2,4,18
Phospholipase A2,Linear,-0.3752144730430788,Multiple CDRs,AAB36472.1,1CDR_A,real,3,2,14
Snake Venom Serine Protease,Mixed,-0.4233837420987152,Multiple CDRs,E0Y418.1,4V1D_D,real,5,3,14
Snake Venom Metalloproteinase,Conformational,-0.28754640336182063,Multiple CDRs,P14530.3,6IOM_B,real,4,1,14
Snake Venom Metalloproteinase,Linear,-0.38404550570327883,CDR-H3,P84035.1,4V1D_A,real,4,2,2
Snake Venom Metalloproteinase,Linear,-0.19297407178258788,CDR-H3,P0DM97.1,9CLP_C,real,4,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.3703975461375152,CDR-H3,AAP20602.1,9CLP_C,real,0,1,2
Snake Venom Metalloproteinase,Conformational,-0.3883807399182861,Multiple CDRs,C0HM67.1,1CDQ_A,real,4,1,14
Snake Venom Serine Protease,Linear,-0.35482281580952607,Multiple CDRs,B5U6Y3.1,9CU6_F,real,5,2,14
Snake Venom Metalloproteinase,Specific,-0.13051458624044604,Substrate Recognition Site,SYN_TOX_SVMP_170,SYN_MAB_39_H,synthetic,4,4,20
Snake Venom Metalloproteinase,Linear,-0.3989779791105261,Multiple CDRs,P0DQT6.1,1CDQ_A,real,4,2,14
Snake Venom Metalloproteinase,Mixed,-0.32720576821762787,CDR-H3,P0C6R9.2,1CDR_A,real,4,3,2
Snake Venom Serine Protease,Linear,-0.2795181918525479,CDR-H3,Q2PQJ3.1,9CLP_C,real,5,2,2
Snake Venom Metalloproteinase,Mixed,-0.32720576821762787,CDR-H3,C0HJU2.1,P00740.2,real,4,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.395766694506817,Multiple CDRs,AAL54896.1,4V1D_B,real,0,3,14
Cysteine-Rich Secretory Protein,Linear,-0.3792285787977152,CDR-H3,XP_032069593.1,8SXP_H,real,0,2,2
Snake Venom Metalloproteinase,Linear,-0.3578735361830497,Multiple CDRs,J3SBP9.1,1CDQ_A,real,4,2,14
Snake Venom Serine Protease,Mixed,-0.4108597321442497,CDR-H3,A8QL56.1,9CU5_E,real,5,3,2
Snake Venom Metalloproteinase,Conformational,-0.3024788767690679,Multiple CDRs,P0DQT6.1,P13987.1,real,4,1,14
Snake Venom Serine Protease,Mixed,-0.409896346763137,Multiple CDRs,P85109.1,4V1D_E,real,5,3,14
Snake Venom Serine Protease,Conformational,-0.41920907211389336,Multiple CDRs,A8QL57.1,1CDS_A,real,5,1,14
Snake Venom Metalloproteinase,Specific,-0.13372587084415516,Zinc Binding Site,SYN_TOX_SVMP_163,SYN_MAB_113_H,synthetic,4,4,21
Disintegrin,Conformational,-0.16872887302458425,Multiple CDRs,AAB22478.1,9CLP_C,real,1,1,14
Three-Finger Toxin,Broad-spectrum,4.1388882943907905,Multiple epitopes,SYN_TOX_3FTx_164,SYN_MAB_134_H,synthetic,6,0,15
Snake Venom Serine Protease,Broad-spectrum,2.3261181355970084,Multiple epitopes,SYN_TOX_SVSP_67,SYN_MAB_98_H,synthetic,5,0,15
Disintegrin,Mixed,-0.3572312792623079,CDR-H3,AAB22478.1,9MI0_L,real,1,3,2
Phospholipase A2,Mixed,-0.22476578935930788,CDR-H3,XCA51249.1,9CLP_H,real,3,3,2
Snake Venom Serine Protease,Linear,-0.3479185539115516,Multiple CDRs,Q9YGJ9.1,P13987.1,real,5,2,14
Snake Venom Serine Protease,Conformational,0.07950342684212851,Multiple CDRs,P0DJ86.1,4V1D_A,real,5,1,14
Snake Venom Serine Protease,Conformational,-0.2186643486122606,CDR-H3,B0ZT25.1,8SXP_L,real,5,1,2
Snake Venom Metalloproteinase,Specific,-0.19795156291833696,Catalytic Domain,SYN_TOX_SVMP_86,SYN_MAB_65_H,synthetic,4,4,4
Cysteine-Rich Secretory Protein,Conformational,-0.2796787560827333,Multiple CDRs,CAP74089.1,6IOM_A,real,0,1,14
Snake Venom Metalloproteinase,Mixed,-0.27630690724883883,Multiple CDRs,F8RKW0.1,NP_001265042.1,real,4,3,14
Snake Venom Serine Protease,Linear,-0.37136093151862787,CDR-H3,P0CJ41.1,6IOM_A,real,5,2,2
Phospholipase A2,Broad-spectrum,4.88711760705501,Multiple epitopes,SYN_TOX_PLA2_113,SYN_MAB_61_H,synthetic,3,0,15
Three-Finger Toxin,Specific,-0.3456706546889552,Loop II,SYN_TOX_3FTx_129,SYN_MAB_84_H,synthetic,6,4,13
Snake Venom Metalloproteinase,Broad-spectrum,2.220145743674609,Multiple epitopes,SYN_TOX_SVMP_93,SYN_MAB_119_H,synthetic,4,0,15
Three-Finger Toxin,Specific,-0.3199803778592824,Central Core,SYN_TOX_3FTx_136,SYN_MAB_16_H,synthetic,6,4,6
Snake Venom Serine Protease,Linear,-0.41551609481962787,CDR-H3,Q8UUJ1.2,1CDQ_A,real,5,2,2
Cysteine-Rich Secretory Protein,Conformational,-0.3307381812817079,Multiple CDRs,6IMF_A,Q9HCN6.4,real,0,1,14
Snake Venom Serine Protease,Linear,-0.32720576821762787,Multiple CDRs,Q8UUJ1.2,P00740.2,real,5,2,14
Cysteine-Rich Secretory Protein,Linear,-0.40909352561220974,Multiple CDRs,XP_013911769.1,NP_000602.1,real,0,2,14
Cysteine-Rich Secretory Protein,Mixed,0.24649022623500122,CDR-H3,ATU85541.1,9MI0_P,real,0,3,2
Snake Venom Serine Protease,Conformational,-0.14865834425140245,Multiple CDRs,B0FXM2.1,8SXP_H,real,5,1,14
Disintegrin,Mixed,-0.22348127551782423,CDR-H3,AAB22477.1,4V1D_E,real,1,3,2
Cysteine-Rich Secretory Protein,Mixed,0.24584796931425942,Multiple CDRs,XP_015678374.1,4V1D_E,real,0,3,14
Disintegrin,Broad-spectrum,2.1687651900152636,Multiple epitopes,SYN_TOX_DIS_76,SYN_MAB_119_H,synthetic,1,0,15
Snake Venom Metalloproteinase,Mixed,-0.37232431689974066,Multiple CDRs,A3R0T9.1,1CDQ_A,real,4,3,14
Cysteine-Rich Secretory Protein,Linear,-0.3337889016552315,Multiple CDRs,KAG8124483.1,1CDS_A,real,0,2,14
Disintegrin,Linear,-0.14191464658361333,Multiple CDRs,P34182.1,P00740.2,real,1,2,14
Disintegrin,Mixed,-0.26025048423029334,Multiple CDRs,AAB27210.1,4V1D_A,real,1,3,14
Cysteine-Rich Secretory Protein,Mixed,-0.4066850621594279,Multiple CDRs,AAL54896.1,9MIB_R,real,0,3,14
Cysteine-Rich Secretory Protein,Linear,-0.38516945531457697,CDR-H3,BAP39957.1,8SXP_L,real,0,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.3137183728820497,Multiple CDRs,XP_039190748.1,9B7V_L,real,0,3,14
Cysteine-Rich Secretory Protein,Linear,-0.3931976668238497,CDR-H3,KAG8124480.1,4V1D_D,real,0,2,2
Snake Venom Serine Protease,Mixed,-0.02261542355582059,Multiple CDRs,Q5MCS0.1,1CDS_A,real,5,3,14
Cysteine-Rich Secretory Protein,Specific,-0.10642995171262785,Ion Channel Binding Region,SYN_TOX_CRISP_140,SYN_MAB_140_H,synthetic,0,4,11
Cysteine-Rich Secretory Protein,Linear,-0.2494926808078679,Multiple CDRs,XP_034288378.1,4V1D_A,real,0,2,14
Cysteine-Rich Secretory Protein,Conformational,-0.3996202360312679,CDR-H3,XP_070812689.1,4V1D_A,real,0,1,2
Snake Venom Metalloproteinase,Mixed,-0.25752089231714065,Multiple CDRs,F8RKW0.1,P13987.1,real,4,3,14
Cysteine-Rich Secretory Protein,Linear,-0.23070666587616973,CDR-H3,BAP39923.1,9B7V_H,real,0,2,2
Snake Venom Serine Protease,Mixed,-0.28497737567885334,CDR-H3,E5L0E3.1,9CLP_L,real,5,3,2
Snake Venom Serine Protease,Conformational,-0.4078090117707261,CDR-H3,Q9I8X1.2,6ION_A,real,5,1,2
Cysteine-Rich Secretory Protein,Linear,-0.38629340492587516,Multiple CDRs,XP_026568633.1,6IOM_B,real,0,2,14
Cysteine-Rich Secretory Protein,Conformational,-0.3785863218769734,CDR-H3,XP_034288380.1,8SXP_L,real,0,1,2
Disintegrin,Specific,-0.374572216122337,RGD Motif,SYN_TOX_DIS_153,SYN_MAB_36_H,synthetic,1,4,17
Phospholipase A2,Specific,0.025232717039444876,Enzymatic Site,SYN_TOX_PLA2_148,SYN_MAB_7_H,synthetic,3,4,7
Snake Venom Serine Protease,Linear,-0.07415654144535151,CDR-H3,P0CG03.1,4V1D_E,real,5,2,2
Snake Venom Metalloproteinase,Mixed,-0.3225494055422497,Multiple CDRs,P0DM97.1,9MIH_L,real,4,3,14
Snake Venom Metalloproteinase,Conformational,0.16925883151579765,CDR-H3,Q0NZX6.1,P13987.1,real,4,1,2
Snake Venom Metalloproteinase,Mixed,-0.392234281442737,CDR-H3,J3SBP9.1,6ION_A,real,4,3,2
Cysteine-Rich Secretory Protein,Conformational,-0.27566465032809695,Multiple CDRs,KAG8124483.1,9CLP_C,real,0,1,14
Cysteine-Rich Secretory Protein,Conformational,0.22417179823922304,CDR-H3,BAP39923.1,9CLP_H,real,0,1,2
Snake Venom Metalloproteinase,Conformational,-0.13838223351953335,CDR-H3,O42138.1,P13987.1,real,4,1,2
Snake Venom Metalloproteinase,Linear,-0.3691130322960315,CDR-H3,R4NNL0.1,NP_001265042.1,real,4,2,2
Three-Finger Toxin,Specific,-0.03899297503473695,Central Core,SYN_TOX_3FTx_129,SYN_MAB_118_H,synthetic,6,4,6
Cysteine-Rich Secretory Protein,Linear,-0.4121442459857334,CDR-H3,BAP39923.1,1CDS_A,real,0,2,2
Snake Venom Serine Protease,Linear,-0.4078090117707261,CDR-H3,A8QL56.1,9CLP_H,real,5,2,2
Snake Venom Metalloproteinase,Conformational,-0.2992675921653588,CDR-H3,Q698K8.3,9CLP_H,real,4,1,2
Cysteine-Rich Secretory Protein,Mixed,-0.37682011534493337,CDR-H3,XP_070588618.1,8SXP_L,real,0,3,2
Kunitz-type Serine Protease Inhibitor,Specific,-0.01972526741248241,Secondary Contact Site,SYN_TOX_KSPI_33,SYN_MAB_20_H,synthetic,2,4,18
Cysteine-Rich Secretory Protein,Linear,-0.2027684898239006,CDR-H3,XP_015678374.1,8SXP_H,real,0,2,2
Snake Venom Metalloproteinase,Linear,-0.32768746090818424,CDR-H3,F8RKV9.1,9CLP_L,real,4,2,2
Cysteine-Rich Secretory Protein,Specific,-0.3617270777075006,CAP Domain,SYN_TOX_CRISP_28,SYN_MAB_32_H,synthetic,0,4,1
Snake Venom Serine Protease,Conformational,-0.3386058285607952,CDR-H3,Q2PQJ3.1,4V1D_A,real,5,1,2
Snake Venom Metalloproteinase,Conformational,-0.3212648917007661,CDR-H3,P0DM87.1,9CU6_D,real,4,1,2
Kunitz-type Serine Protease Inhibitor,Mixed,-0.3737693949714097,CDR-H3,AEI52542.1,6IOM_B,real,2,3,2
Snake Venom Serine Protease,Broad-spectrum,2.5573306270640637,Multiple epitopes,SYN_TOX_SVSP_95,SYN_MAB_56_H,synthetic,5,0,15
Snake Venom Serine Protease,Conformational,-0.3093831386670424,Multiple CDRs,D8MIA0.1,4V1D_A,real,5,1,14
Snake Venom Metalloproteinase,Conformational,-0.1420752108137988,Multiple CDRs,P14530.3,NP_001265042.1,real,4,1,14
Three-Finger Toxin,Specific,0.15047281658409944,Central Core,SYN_TOX_3FTx_45,SYN_MAB_118_H,synthetic,6,4,6
Snake Venom Metalloproteinase,Linear,-0.22765594550264606,CDR-H3,Q90ZI3.1,NP_001265043.1,real,4,2,2
Disintegrin,Specific,-0.10803559401448241,RGD Motif,SYN_TOX_DIS_34,SYN_MAB_128_H,synthetic,1,4,17
Snake Venom Serine Protease,Mixed,-0.4121442459857334,CDR-H3,P0DL27.1,4V1D_E,real,5,3,2
Cysteine-Rich Secretory Protein,Mixed,-0.09808061174298423,CDR-H3,AAL54896.1,1CDR_A,real,0,3,2
Snake Venom Serine Protease,Mixed,-0.17194015762829334,CDR-H3,A0A1I9KNP0.1,9CLP_L,real,5,3,2
Phospholipase A2,Linear,-0.3695947249865879,Multiple CDRs,KAG5858194.1,9MII_L,real,3,2,14
Snake Venom Serine Protease,Mixed,-0.41647948020074066,CDR-H3,NP_001310176.1,1CDR_A,real,5,3,2
Snake Venom Serine Protease,Conformational,-0.38886243260884246,CDR-H3,P0DJ86.1,1CDQ_A,real,5,1,2
Phospholipase A2,Linear,-0.20068115483148968,CDR-H3,AAB28455.1,1CDS_A,real,3,2,2
Phospholipase A2,Conformational,-0.26057161269066426,CDR-H3,KAG5858194.1,4V1D_B,real,3,1,2
Snake Venom Serine Protease,Conformational,-0.35032701736433336,CDR-H3,C0HLA3.1,9CU5_F,real,5,1,2
Snake Venom Metalloproteinase,Conformational,-0.30280000522943884,Multiple CDRs,O42138.1,9CLP_C,real,4,1,14
Snake Venom Serine Protease,Linear,-0.3625298988584279,Multiple CDRs,E0Y420.1,P13987.1,real,5,2,14
Snake Venom Serine Protease,Linear,-0.3760172941940061,CDR-H3,P81824.2,8SXP_L,real,5,2,2
Phospholipase A2,Mixed,-0.29380840833905336,CDR-H3,AAB20783.1,P00740.2,real,3,3,2
Phospholipase A2,Specific,-0.3633327200093551,Hydrophobic Channel,SYN_TOX_PLA2_8,SYN_MAB_122_H,synthetic,3,4,9
Phospholipase A2,Specific,0.06216248998209944,Calcium Binding Loop,SYN_TOX_PLA2_57,SYN_MAB_62_H,synthetic,3,4,3
Cysteine-Rich Secretory Protein,Linear,-0.2697237738112352,Multiple CDRs,AAP20602.1,8TO9_I,real,0,2,14
Phospholipase A2,Linear,-0.3124338590405661,CDR-H3,AAB33759.1,4V1D_A,real,3,2,2
Phospholipase A2,Linear,-0.2117600867142861,CDR-H3,XCA51353.1,1CDQ_A,real,3,2,2
Snake Venom Serine Protease,Linear,-0.4095752183027661,CDR-H3,P18965.2,6ION_A,real,5,2,2
Cysteine-Rich Secretory Protein,Mixed,-0.3976934652690424,Multiple CDRs,XP_026546646.1,9CLP_C,real,0,3,14
Phospholipase A2,Conformational,-0.2766280357092097,CDR-H3,XCA51370.1,4V1D_B,real,3,1,2
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,1.7079458493830086,Multiple epitopes,SYN_TOX_KSPI_194,SYN_MAB_98_H,synthetic,2,0,15
Cysteine-Rich Secretory Protein,Conformational,-0.3787468861071588,CDR-H3,XP_026546646.1,NP_000602.1,real,0,1,2
Three-Finger Toxin,Broad-spectrum,3.128939286524281,Multiple epitopes,SYN_TOX_3FTx_10,SYN_MAB_75_H,synthetic,6,0,15
Snake Venom Serine Protease,Mixed,-0.22492635358949334,CDR-H3,F8S114.1,6IOM_B,real,5,3,2
Snake Venom Serine Protease,Linear,-0.1989149482994497,Multiple CDRs,C0HLA3.1,1CDS_A,real,5,2,14
Phospholipase A2,Broad-spectrum,0.6514332147627176,Multiple epitopes,SYN_TOX_PLA2_148,SYN_MAB_40_H,synthetic,3,0,15
Disintegrin,Linear,-0.42675559093260973,CDR-H3,AAB22477.1,9MII_H,real,1,2,2
Snake Venom Metalloproteinase,Mixed,-0.3578735361830497,CDR-H3,Q0NZX6.1,6IOM_A,real,4,3,2
Phospholipase A2,Linear,-0.15315414269659514,CDR-H3,XCA51249.1,9MI0_N,real,3,2,2
Snake Venom Metalloproteinase,Linear,-0.31885642824798427,CDR-H3,F8RKW1.1,8U9Y_E,real,4,2,2
