toxin_type,binding_type,binding_affinity_nM,binding_site,toxin_id,antibody_id,data_source
Phospholipase A2,Conformational,11.0,CDR-H3,KAG5858194.1,4V1D_B,real
Snake Venom Serine Protease,Conformational,5.41,CDR-H3,C0HLA3.1,9CU5_F,real
Snake Venom Metalloproteinase,Conformational,8.37,Multiple CDRs,O42138.1,9CLP_C,real
Snake Venom Serine Protease,Linear,4.65,Multiple CDRs,E0Y420.1,P13987.1,real
Snake Venom Serine Protease,Linear,3.81,CDR-H3,P81824.2,8SXP_L,real
Phospholipase A2,Mixed,8.93,CDR-H3,AAB20783.1,P00740.2,real
Phospholipase A2,Specific,4.6,Hydrophobic Channel,SYN_TOX_PLA2_8,SYN_MAB_122_H,synthetic
Phospholipase A2,Specific,31.1,Calcium Binding Loop,SYN_TOX_PLA2_57,SYN_MAB_62_H,synthetic
Cysteine-Rich Secretory Protein,Linear,10.43,Multiple CDRs,AAP20602.1,8TO9_I,real
Phospholipase A2,Linear,7.77,CDR-H3,AAB33759.1,4V1D_A,real
Phospholipase A2,Linear,14.04,CDR-H3,XCA51353.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,1.72,CDR-H3,P18965.2,6ION_A,real
Cysteine-Rich Secretory Protein,Mixed,2.46,Multiple CDRs,XP_026546646.1,9CLP_C,real
Phospholipase A2,Conformational,10.0,CDR-H3,XCA51370.1,4V1D_B,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,133.6,Multiple epitopes,SYN_TOX_KSPI_194,SYN_MAB_98_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,3.64,CDR-H3,XP_026546646.1,NP_000602.1,real
Three-Finger Toxin,Broad-spectrum,222.1,Multiple epitopes,SYN_TOX_3FTx_10,SYN_MAB_75_H,synthetic
Snake Venom Serine Protease,Mixed,13.22,CDR-H3,F8S114.1,6IOM_B,real
Snake Venom Serine Protease,Linear,14.84,Multiple CDRs,C0HLA3.1,1CDS_A,real
Phospholipase A2,Broad-spectrum,67.8,Multiple epitopes,SYN_TOX_PLA2_148,SYN_MAB_40_H,synthetic
Disintegrin,Linear,0.65,CDR-H3,AAB22477.1,9MII_H,real
Snake Venom Metalloproteinase,Mixed,4.94,CDR-H3,Q0NZX6.1,6IOM_A,real
Phospholipase A2,Linear,17.69,CDR-H3,XCA51249.1,9MI0_N,real
Snake Venom Metalloproteinase,Linear,7.37,CDR-H3,F8RKW1.1,8U9Y_E,real
Phospholipase A2,Specific,25.6,Calcium Binding Loop,SYN_TOX_PLA2_99,SYN_MAB_112_H,synthetic
Snake Venom Serine Protease,Linear,8.19,CDR-H3,Q9PT51.1,6IOM_B,real
Phospholipase A2,Mixed,6.44,Multiple CDRs,XCA51265.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,4.79,Multiple CDRs,Q698K8.3,P13987.1,real
Snake Venom Metalloproteinase,Conformational,21.56,CDR-H3,Q2EI26.1,8SXP_L,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,61.3,Multiple epitopes,SYN_TOX_KSPI_68,SYN_MAB_43_H,synthetic
Three-Finger Toxin,Broad-spectrum,337.1,Multiple epitopes,SYN_TOX_3FTx_45,SYN_MAB_12_H,synthetic
Disintegrin,Mixed,10.16,CDR-H3,ABD34834.1,9CU5_K,real
Cysteine-Rich Secretory Protein,Linear,23.08,Multiple CDRs,XP_026568632.1,9CU5_E,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,107.6,Multiple epitopes,SYN_TOX_KSPI_61,SYN_MAB_33_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,16.95,CDR-H3,XP_026568632.1,1CDQ_A,real
Snake Venom Serine Protease,Conformational,13.91,CDR-H3,B0FXM2.1,P13987.1,real
Phospholipase A2,Specific,10.9,Hydrophobic Channel,SYN_TOX_PLA2_197,SYN_MAB_50_H,synthetic
Snake Venom Serine Protease,Mixed,13.79,CDR-H3,P18965.2,8SXP_L,real
Snake Venom Metalloproteinase,Linear,2.73,CDR-H3,P82942.1,4V1D_A,real
Snake Venom Serine Protease,Conformational,2.24,Multiple CDRs,B0ZT25.1,1CDS_A,real
Snake Venom Metalloproteinase,Broad-spectrum,317.4,Multiple epitopes,SYN_TOX_SVMP_65,SYN_MAB_75_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,0.89,CDR-H3,XP_070588618.1,9CLP_C,real
Snake Venom Metalloproteinase,Mixed,2.55,Multiple CDRs,Q9W7S2.1,4V1D_E,real
Snake Venom Metalloproteinase,Broad-spectrum,193.8,Multiple epitopes,SYN_TOX_SVMP_9,SYN_MAB_109_H,synthetic
Snake Venom Serine Protease,Linear,19.69,CDR-H3,Q6T5L0.2,9CU6_G,real
Phospholipase A2,Linear,7.45,Multiple CDRs,XCA51213.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Mixed,5.47,CDR-H3,XP_026549114.1,6IOM_B,real
Snake Venom Metalloproteinase,Mixed,2.49,CDR-H3,Q5XUW8.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,9.88,Multiple CDRs,Q2EI26.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Linear,23.32,CDR-H3,XP_039190748.1,6ION_A,real
Snake Venom Serine Protease,Mixed,15.05,Multiple CDRs,O93421.2,8SXP_H,real
Disintegrin,Broad-spectrum,251.5,Multiple epitopes,SYN_TOX_DIS_132,SYN_MAB_18_H,synthetic
Snake Venom Metalloproteinase,Conformational,22.29,Multiple CDRs,C0L2T8.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,24.34,CDR-H3,P0DJF5.1,9MIB_P,real
Disintegrin,Mixed,3.69,CDR-H3,A43020,9CLP_L,real
Snake Venom Serine Protease,Conformational,2.87,CDR-H3,Q9I8X1.2,8SXP_L,real
Cysteine-Rich Secretory Protein,Linear,17.59,CDR-H3,AAP20603.1,1CDS_A,real
Cysteine-Rich Secretory Protein,Linear,4.45,Multiple CDRs,XP_026549114.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,4.16,Multiple CDRs,U3KRG1.1,P00740.2,real
Phospholipase A2,Conformational,2.9,Multiple CDRs,XCA51214.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Mixed,60.78,CDR-H3,XP_032069584.1,6IOM_B,real
Snake Venom Serine Protease,Linear,11.36,Multiple CDRs,P84788.1,9MI0_K,real
Cysteine-Rich Secretory Protein,Specific,18.4,Ion Channel Binding Region,SYN_TOX_CRISP_119,SYN_MAB_48_H,synthetic
Snake Venom Serine Protease,Conformational,22.02,Multiple CDRs,E5L0E3.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Mixed,3.23,Multiple CDRs,XP_070588618.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Specific,21.5,Ion Channel Binding Region,SYN_TOX_CRISP_112,SYN_MAB_4_H,synthetic
Snake Venom Metalloproteinase,Mixed,4.37,Multiple CDRs,O57413.1,9CLP_H,real
Disintegrin,Linear,22.77,CDR-H3,A43020,9CU6_F,real
Snake Venom Metalloproteinase,Linear,4.37,Multiple CDRs,P0DL29.1,P00740.2,real
Disintegrin,Broad-spectrum,323.0,Multiple epitopes,SYN_TOX_DIS_90,SYN_MAB_117_H,synthetic
Snake Venom Metalloproteinase,Linear,75.07,Multiple CDRs,F8RKW0.1,1CDR_A,real
Snake Venom Serine Protease,Linear,16.34,CDR-H3,Q6T5L0.2,NP_000602.1,real
Cysteine-Rich Secretory Protein,Linear,6.46,CDR-H3,CAP74089.1,1CDQ_A,real
Snake Venom Serine Protease,Linear,14.86,CDR-H3,P18965.2,9MIB_N,real
Snake Venom Metalloproteinase,Linear,4.67,CDR-H3,F8RKW1.1,1CDQ_A,real
Three-Finger Toxin,Specific,4.1,Loop I,SYN_TOX_3FTx_59,SYN_MAB_64_H,synthetic
Snake Venom Serine Protease,Conformational,4.69,CDR-H3,Q6T5L0.2,P13987.1,real
Cysteine-Rich Secretory Protein,Conformational,2.13,CDR-H3,XP_070588618.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,3.27,Multiple CDRs,P84035.1,P13987.1,real
Snake Venom Serine Protease,Linear,2.03,Multiple CDRs,C0HK19.1,8SXP_L,real
Snake Venom Serine Protease,Conformational,13.73,CDR-H3,E0Y418.1,1CDR_A,real
Cysteine-Rich Secretory Protein,Linear,22.16,Multiple CDRs,KAG8124483.1,9CU5_D,real
Phospholipase A2,Conformational,9.73,CDR-H3,XCA51214.1,8SXP_L,real
Snake Venom Serine Protease,Mixed,56.81,Multiple CDRs,E0Y420.1,P00740.2,real
Snake Venom Metalloproteinase,Mixed,14.2,Multiple CDRs,P82942.1,9MIB_K,real
Cysteine-Rich Secretory Protein,Specific,36.0,Ion Channel Binding Region,SYN_TOX_CRISP_84,SYN_MAB_142_H,synthetic
Phospholipase A2,Conformational,15.96,CDR-H3,XCA51350.1,9CLP_H,real
Snake Venom Metalloproteinase,Linear,6.54,Multiple CDRs,O42138.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,14.11,CDR-H3,P0C5B4.2,9CLP_C,real
Snake Venom Metalloproteinase,Mixed,10.83,CDR-H3,J3SDW8.1,9B7R_H,real
Snake Venom Serine Protease,Mixed,10.48,Multiple CDRs,O93421.2,4V1D_E,real
Snake Venom Serine Protease,Conformational,42.89,Multiple CDRs,P0DL27.1,6IOM_A,real
Phospholipase A2,Linear,15.82,CDR-H3,AAB36472.1,P00740.2,real
Cysteine-Rich Secretory Protein,Specific,3.3,CAP Domain,SYN_TOX_CRISP_112,SYN_MAB_97_H,synthetic
Cysteine-Rich Secretory Protein,Specific,12.7,CAP Domain,SYN_TOX_CRISP_196,SYN_MAB_88_H,synthetic
Phospholipase A2,Specific,26.5,Hydrophobic Channel,SYN_TOX_PLA2_134,SYN_MAB_131_H,synthetic
Disintegrin,Conformational,4.83,CDR-H3,A43020,8SXP_H,real
Phospholipase A2,Linear,6.2,Multiple CDRs,AAB36472.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Conformational,4.87,CDR-H3,AAP20603.1,P00740.2,real
Three-Finger Toxin,Specific,11.8,Central Core,SYN_TOX_3FTx_94,SYN_MAB_143_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,14.89,CDR-H3,XP_026568632.1,4V1D_B,real
Phospholipase A2,Linear,65.41,CDR-H3,AAB24834.1,9CLP_C,real
Snake Venom Metalloproteinase,Linear,5.08,Multiple CDRs,P84035.1,NP_001265043.1,real
Snake Venom Metalloproteinase,Linear,6.77,Multiple CDRs,P17347.3,8SXP_L,real
Phospholipase A2,Conformational,3.87,Multiple CDRs,XCA51265.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Linear,96.49,Multiple CDRs,A2TK72.1,1CDS_A,real
Snake Venom Serine Protease,Linear,13.4,Multiple CDRs,A8QL57.1,8SXP_L,real
Snake Venom Serine Protease,Conformational,2.03,Multiple CDRs,E0Y420.1,1CDQ_A,real
Snake Venom Metalloproteinase,Linear,2.81,CDR-H3,P17347.3,9CLP_C,real
Phospholipase A2,Mixed,11.8,Multiple CDRs,AAB26654.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,9.89,CDR-H3,XP_039190751.1,6IOM_A,real
Snake Venom Serine Protease,Linear,25.34,CDR-H3,Q27J47.1,1CDR_A,real
Phospholipase A2,Linear,8.05,CDR-H3,XCA51214.1,4V1D_B,real
Phospholipase A2,Linear,17.04,CDR-H3,AAB24834.1,6IOM_A,real
Snake Venom Metalloproteinase,Linear,3.55,CDR-H3,J3S829.1,1CDS_A,real
Disintegrin,Linear,8.58,Multiple CDRs,P34182.1,6ION_A,real
Three-Finger Toxin,Specific,14.3,Loop II,SYN_TOX_3FTx_45,SYN_MAB_54_H,synthetic
Snake Venom Serine Protease,Mixed,39.11,CDR-H3,P0CJ41.1,6ION_A,real
Snake Venom Metalloproteinase,Linear,16.71,Multiple CDRs,Q698K8.3,9MIA_P,real
Cysteine-Rich Secretory Protein,Conformational,7.26,CDR-H3,AAP20603.1,8SXP_H,real
Snake Venom Serine Protease,Conformational,10.57,CDR-H3,B5U6Y3.1,6ION_A,real
Snake Venom Metalloproteinase,Mixed,26.27,Multiple CDRs,Q9PW36.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,19.34,CDR-H3,KAG8124480.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,15.75,CDR-H3,XP_032069593.1,1CDQ_A,real
Snake Venom Metalloproteinase,Mixed,20.37,CDR-H3,P82942.1,P00740.2,real
Cysteine-Rich Secretory Protein,Linear,2.48,CDR-H3,XP_039185515.1,4V1D_A,real
Disintegrin,Mixed,8.4,CDR-H3,ABD34834.1,9CLP_H,real
Phospholipase A2,Linear,5.28,CDR-H3,AAB36472.1,Q9HCN6.4,real
Snake Venom Serine Protease,Mixed,13.4,Multiple CDRs,E0Y419.1,8SXP_H,real
Snake Venom Serine Protease,Mixed,7.41,Multiple CDRs,P81824.2,9MI0_N,real
Snake Venom Metalloproteinase,Conformational,8.36,CDR-H3,F8S108.1,P13987.1,real
Cysteine-Rich Secretory Protein,Conformational,15.54,CDR-H3,XP_070588618.1,4V1D_D,real
Snake Venom Serine Protease,Mixed,20.2,Multiple CDRs,A7LAC7.1,8SXP_H,real
Cysteine-Rich Secretory Protein,Mixed,1.91,Multiple CDRs,BAP39923.1,6IOM_A,real
Snake Venom Metalloproteinase,Mixed,20.24,Multiple CDRs,J9Z332.1,9CU6_K,real
Snake Venom Metalloproteinase,Linear,2.47,CDR-H3,J9Z332.1,4V1D_D,real
Snake Venom Metalloproteinase,Mixed,10.33,CDR-H3,U3KRG1.1,4V1D_E,real
Cysteine-Rich Secretory Protein,Mixed,33.78,CDR-H3,XP_058038736.1,9CLP_H,real
Snake Venom Metalloproteinase,Conformational,16.24,Multiple CDRs,A2TK72.1,P13987.1,real
Cysteine-Rich Secretory Protein,Linear,2.85,CDR-H3,AAP20603.1,4V1D_E,real
Snake Venom Metalloproteinase,Linear,1.43,Multiple CDRs,J3S829.1,P13987.1,real
Snake Venom Serine Protease,Linear,11.36,CDR-H3,Q2PQJ3.1,4V1D_E,real
Kunitz-type Serine Protease Inhibitor,Specific,27.0,Inhibitory Loop,SYN_TOX_KSPI_194,SYN_MAB_79_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,6.0,Multiple CDRs,ATU85541.1,P13987.1,real
Disintegrin,Conformational,0.16,Multiple CDRs,ABD34834.1,4V1D_B,real
Snake Venom Metalloproteinase,Conformational,9.53,CDR-H3,A8QL49.1,4V1D_E,real
Phospholipase A2,Linear,4.29,CDR-H3,XCA51249.1,6IOM_A,real
Snake Venom Serine Protease,Linear,3.78,Multiple CDRs,Q8UUJ2.2,4V1D_A,real
Phospholipase A2,Mixed,6.02,CDR-H3,XCA51353.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,4.37,Multiple CDRs,P84788.1,4V1D_A,real
Cysteine-Rich Secretory Protein,Linear,1.07,Multiple CDRs,AAP20602.1,9CLP_H,real
Snake Venom Serine Protease,Linear,7.13,CDR-H3,P0DJF6.1,9MI0_L,real
Snake Venom Serine Protease,Mixed,11.64,CDR-H3,Q5MCS0.1,NP_000602.1,real
Snake Venom Metalloproteinase,Mixed,3.99,CDR-H3,A3R0T9.1,9CLP_H,real
Snake Venom Serine Protease,Conformational,4.17,CDR-H3,Q072L6.1,9MIB_N,real
Cysteine-Rich Secretory Protein,Mixed,7.22,Multiple CDRs,XP_070812678.1,8SXP_H,real
Phospholipase A2,Mixed,10.49,Multiple CDRs,XCA51249.1,9MI0_R,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,73.1,Multiple epitopes,SYN_TOX_KSPI_124,SYN_MAB_43_H,synthetic
Cysteine-Rich Secretory Protein,Broad-spectrum,64.2,Multiple epitopes,SYN_TOX_CRISP_161,SYN_MAB_117_H,synthetic
Snake Venom Metalloproteinase,Linear,8.93,CDR-H3,F8S108.1,6ION_A,real
Cysteine-Rich Secretory Protein,Conformational,5.66,CDR-H3,XP_026547764.1,4V1D_B,real
Cysteine-Rich Secretory Protein,Specific,0.9,Ion Channel Binding Region,SYN_TOX_CRISP_91,SYN_MAB_4_H,synthetic
Snake Venom Serine Protease,Conformational,38.34,CDR-H3,E0Y419.1,P13987.1,real
Phospholipase A2,Specific,2.5,Calcium Binding Loop,SYN_TOX_PLA2_29,SYN_MAB_62_H,synthetic
Snake Venom Serine Protease,Mixed,16.42,Multiple CDRs,A8QL56.1,Q9HCN6.4,real
Snake Venom Serine Protease,Linear,34.76,CDR-H3,P84787.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,9.26,CDR-H3,Q8UUJ1.2,9CU5_F,real
Snake Venom Metalloproteinase,Mixed,9.25,Multiple CDRs,V5TBK6.1,NP_001265043.1,real
Snake Venom Metalloproteinase,Linear,5.37,CDR-H3,J9Z332.1,9CLP_H,real
Phospholipase A2,Broad-spectrum,149.5,Multiple epitopes,SYN_TOX_PLA2_141,SYN_MAB_55_H,synthetic
Phospholipase A2,Mixed,7.71,Multiple CDRs,AAB26654.1,6IOM_A,real
Snake Venom Serine Protease,Linear,4.63,CDR-H3,Q2PQJ3.1,NP_000602.1,real
Phospholipase A2,Specific,19.5,Calcium Binding Loop,SYN_TOX_PLA2_50,SYN_MAB_2_H,synthetic
Snake Venom Metalloproteinase,Mixed,14.38,Multiple CDRs,C0L2T8.1,9MI0_L,real
Snake Venom Metalloproteinase,Conformational,9.65,Multiple CDRs,P14530.3,P13987.1,real
Snake Venom Metalloproteinase,Linear,27.32,CDR-H3,Q5XUW8.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Conformational,5.5,Multiple CDRs,XP_039204466.1,9CLP_L,real
Snake Venom Serine Protease,Linear,9.33,Multiple CDRs,E0Y418.1,1CDS_A,real
Snake Venom Serine Protease,Conformational,11.91,Multiple CDRs,A8QL56.1,P13987.1,real
Snake Venom Metalloproteinase,Linear,11.14,Multiple CDRs,J3SDW8.1,6IOM_B,real
Cysteine-Rich Secretory Protein,Conformational,8.41,Multiple CDRs,XP_015678374.1,NP_000602.1,real
Snake Venom Serine Protease,Mixed,7.55,Multiple CDRs,D8MIA2.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Mixed,10.77,CDR-H3,CAP74088.1,9MI0_K,real
Cysteine-Rich Secretory Protein,Mixed,1.27,Multiple CDRs,XP_013911763.1,9CU6_D,real
Phospholipase A2,Linear,5.36,CDR-H3,XCA51214.1,Q9HCN6.4,real
Snake Venom Serine Protease,Conformational,3.62,Multiple CDRs,Q9YGJ9.1,9MIA_R,real
Snake Venom Metalloproteinase,Linear,3.79,CDR-H3,P0DQT6.1,8SXP_H,real
Snake Venom Metalloproteinase,Conformational,14.5,Multiple CDRs,P0DL29.1,P13987.1,real
Phospholipase A2,Conformational,7.81,CDR-H3,AAB20783.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,12.76,Multiple CDRs,F8RKW0.1,9MIA_N,real
Cysteine-Rich Secretory Protein,Linear,11.39,Multiple CDRs,AAL54896.1,6IOM_B,real
Snake Venom Serine Protease,Linear,13.32,CDR-H3,C0HLA3.1,9CLP_H,real
Snake Venom Metalloproteinase,Mixed,2.3,Multiple CDRs,C0L2T8.1,Q9HCN6.4,real
Phospholipase A2,Conformational,8.08,Multiple CDRs,AAB36471.1,9MIH_L,real
Snake Venom Metalloproteinase,Linear,6.68,Multiple CDRs,P0DM97.1,P13987.1,real
Snake Venom Metalloproteinase,Mixed,18.65,CDR-H3,J3S830.1,P00740.2,real
Cysteine-Rich Secretory Protein,Conformational,9.52,Multiple CDRs,KAG8124481.1,9CLP_C,real
Three-Finger Toxin,Specific,16.1,Loop I,SYN_TOX_3FTx_24,SYN_MAB_136_H,synthetic
Snake Venom Metalloproteinase,Linear,7.87,Multiple CDRs,J3SDW8.1,9CLP_L,real
Snake Venom Metalloproteinase,Linear,4.45,Multiple CDRs,P0C7A9.1,6IOM_A,real
Snake Venom Serine Protease,Linear,13.6,Multiple CDRs,P18965.2,9MIB_L,real
Snake Venom Serine Protease,Broad-spectrum,234.2,Multiple epitopes,SYN_TOX_SVSP_46,SYN_MAB_61_H,synthetic
Snake Venom Metalloproteinase,Conformational,5.25,Multiple CDRs,U5PZ28.1,6IOM_A,real
Snake Venom Serine Protease,Broad-spectrum,205.7,Multiple epitopes,SYN_TOX_SVSP_130,SYN_MAB_43_H,synthetic
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,137.6,Multiple epitopes,SYN_TOX_KSPI_194,SYN_MAB_82_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,2.7,CDR-H3,KAG8124478.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Specific,25.7,CAP Domain,SYN_TOX_CRISP_49,SYN_MAB_124_H,synthetic
Cysteine-Rich Secretory Protein,Conformational,9.81,CDR-H3,XP_039190748.1,4V1D_E,real
Snake Venom Serine Protease,Conformational,6.61,CDR-H3,P0DJ86.1,1CDR_A,real
Phospholipase A2,Conformational,5.56,Multiple CDRs,AAB26654.1,1CDS_A,real
Snake Venom Metalloproteinase,Linear,6.45,CDR-H3,A8QL59.1,6IOM_A,real
Snake Venom Metalloproteinase,Conformational,13.86,CDR-H3,P0C7A9.1,9CU6_F,real
Snake Venom Metalloproteinase,Mixed,11.98,Multiple CDRs,Q9W7S2.1,6IOM_A,real
Phospholipase A2,Specific,10.8,Enzymatic Site,SYN_TOX_PLA2_85,SYN_MAB_52_H,synthetic
Phospholipase A2,Specific,6.1,Hydrophobic Channel,SYN_TOX_PLA2_169,SYN_MAB_122_H,synthetic
Snake Venom Serine Protease,Specific,21.9,Substrate Binding Site,SYN_TOX_SVSP_158,SYN_MAB_38_H,synthetic
Snake Venom Metalloproteinase,Conformational,16.46,Multiple CDRs,Q90ZI3.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,4.91,CDR-H3,BAP39923.1,NP_000602.1,real
Snake Venom Serine Protease,Mixed,3.05,CDR-H3,B0FXM2.1,4V1D_D,real
Snake Venom Metalloproteinase,Linear,71.82,Multiple CDRs,P0DQT6.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,15.46,CDR-H3,Q9YGJ9.1,NP_000602.1,real
Snake Venom Serine Protease,Linear,4.04,CDR-H3,E0Y420.1,6IOM_A,real
Snake Venom Serine Protease,Conformational,8.12,Multiple CDRs,A8QL57.1,9CU5_K,real
Cysteine-Rich Secretory Protein,Conformational,27.56,CDR-H3,XP_026547764.1,6IOM_B,real
Kunitz-type Serine Protease Inhibitor,Broad-spectrum,253.1,Multiple epitopes,SYN_TOX_KSPI_180,SYN_MAB_55_H,synthetic
Snake Venom Metalloproteinase,Conformational,24.45,Multiple CDRs,Q0NZX6.1,4V1D_A,real
Snake Venom Serine Protease,Linear,30.33,CDR-H3,P0DJF5.1,6IOM_B,real
Snake Venom Metalloproteinase,Conformational,9.16,CDR-H3,P0DM87.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,22.71,Multiple CDRs,CAP74088.1,6IOM_B,real
Snake Venom Metalloproteinase,Conformational,5.45,CDR-H3,A2TK72.1,9CLP_H,real
Cysteine-Rich Secretory Protein,Specific,2.9,CAP Domain,SYN_TOX_CRISP_175,SYN_MAB_124_H,synthetic
Snake Venom Metalloproteinase,Conformational,69.0,CDR-H3,J3SBP9.1,P00740.2,real
Disintegrin,Conformational,12.33,Multiple CDRs,P34182.1,6IOM_B,real
Phospholipase A2,Conformational,13.08,CDR-H3,AAB25792.1,9MIA_H,real
Snake Venom Metalloproteinase,Conformational,16.98,Multiple CDRs,C0HJU2.1,9CU6_G,real
Snake Venom Metalloproteinase,Conformational,33.28,Multiple CDRs,Q9W7S2.1,6ION_A,real
Three-Finger Toxin,Specific,14.1,Loop II,SYN_TOX_3FTx_80,SYN_MAB_102_H,synthetic
Cysteine-Rich Secretory Protein,Mixed,12.13,CDR-H3,XP_032069584.1,NP_000602.1,real
Disintegrin,Linear,6.46,Multiple CDRs,ABD34835.1,8SXP_L,real
Cysteine-Rich Secretory Protein,Conformational,12.46,Multiple CDRs,BAP39923.1,8U9Y_N,real
Phospholipase A2,Broad-spectrum,257.2,Multiple epitopes,SYN_TOX_PLA2_57,SYN_MAB_98_H,synthetic
Phospholipase A2,Specific,4.8,Calcium Binding Loop,SYN_TOX_PLA2_57,SYN_MAB_21_H,synthetic
Snake Venom Metalloproteinase,Linear,4.91,CDR-H3,P0DM87.1,NP_001265042.1,real
Snake Venom Metalloproteinase,Conformational,10.58,CDR-H3,P0C7A9.1,P00740.2,real
Disintegrin,Linear,5.29,Multiple CDRs,A43020,NP_001455.3,real
Three-Finger Toxin,Specific,2.9,Loop II,SYN_TOX_3FTx_192,SYN_MAB_54_H,synthetic
Snake Venom Serine Protease,Linear,2.66,Multiple CDRs,D8MIA1.1,4V1D_D,real
Snake Venom Metalloproteinase,Conformational,14.73,CDR-H3,Q90ZI3.1,9CLP_L,real
Snake Venom Serine Protease,Linear,46.91,CDR-H3,D8MIA1.1,6ION_A,real
Snake Venom Metalloproteinase,Conformational,6.31,CDR-H3,Q90ZI3.1,9CLP_L,real
Snake Venom Serine Protease,Conformational,18.35,CDR-H3,Q072L6.1,9MIA_L,real
Snake Venom Metalloproteinase,Specific,10.9,Substrate Recognition Site,SYN_TOX_SVMP_163,SYN_MAB_89_H,synthetic
Cysteine-Rich Secretory Protein,Linear,16.72,CDR-H3,XP_070812689.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,20.29,CDR-H3,C0HK19.1,Q9HCN6.4,real
Snake Venom Metalloproteinase,Linear,5.99,CDR-H3,Q2EI26.1,NP_001265043.1,real
Cysteine-Rich Secretory Protein,Linear,4.0,CDR-H3,KAG8124483.1,4V1D_E,real
Snake Venom Metalloproteinase,Mixed,54.69,Multiple CDRs,P17347.3,9MIA_H,real
Snake Venom Metalloproteinase,Mixed,5.9,Multiple CDRs,A8QL59.1,9CU6_E,real
Three-Finger Toxin,Broad-spectrum,205.3,Multiple epitopes,SYN_TOX_3FTx_31,SYN_MAB_82_H,synthetic
Cysteine-Rich Secretory Protein,Linear,29.25,Multiple CDRs,XP_026568632.1,9CLP_L,real
Cysteine-Rich Secretory Protein,Mixed,2.14,CDR-H3,XP_034288380.1,9CLP_C,real
Cysteine-Rich Secretory Protein,Linear,0.73,Multiple CDRs,XP_026546646.1,P13987.1,real
Disintegrin,Mixed,3.8,Multiple CDRs,ABD34835.1,NP_000602.1,real
Cysteine-Rich Secretory Protein,Mixed,9.7,Multiple CDRs,XP_026568633.1,1CDQ_A,real
Cysteine-Rich Secretory Protein,Broad-spectrum,369.6,Multiple epitopes,SYN_TOX_CRISP_154,SYN_MAB_91_H,synthetic
Snake Venom Serine Protease,Conformational,25.03,Multiple CDRs,A8QL56.1,9CLP_L,real
Snake Venom Serine Protease,Mixed,6.86,CDR-H3,C0HK19.1,NP_000602.1,real
Three-Finger Toxin,Broad-spectrum,48.4,Multiple epitopes,SYN_TOX_3FTx_136,SYN_MAB_56_H,synthetic
Snake Venom Metalloproteinase,Linear,7.63,Multiple CDRs,Q0NZX6.1,9CU6_J,real
Cysteine-Rich Secretory Protein,Mixed,5.38,CDR-H3,AAL54918.1,9B7V_H,real
Snake Venom Serine Protease,Mixed,9.79,CDR-H3,Q8UUJ2.2,NP_000602.1,real
Snake Venom Serine Protease,Linear,1.33,CDR-H3,B0FXM2.1,9CLP_L,real
Snake Venom Metalloproteinase,Conformational,17.67,CDR-H3,P0C7A9.1,NP_001265043.1,real
Snake Venom Serine Protease,Mixed,13.25,CDR-H3,D8MIA0.1,9MIA_H,real
Snake Venom Serine Protease,Mixed,17.88,CDR-H3,A8QL53.1,Q9HCN6.4,real
