toxin_id,toxin_type,antibody_id,binding_affinity_nM,neutralization_percentage,binding_type,binding_site,species
O93421.2,Snake Venom Serine Protease,1CDR_A,18.27,9.8,Linear,Multiple CDRs,Gloydius halys
B5U6Y3.1,Snake Venom Serine Protease,9MIA_R,5.37,71.6,Linear,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,9MI0_H,6.08,69.7,Mixed,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,9CU6_F,5.13,77.5,Linear,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,9CU5_J,0.87,78.5,Mixed,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,8U9Y_E,3.38,83.4,Mixed,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,9CLP_L,10.99,44.7,Conformational,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,9CLP_H,5.61,55.3,Mixed,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,9CLP_C,16.28,34.3,Linear,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,NP_000602.1,8.21,66.4,Mixed,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,P13987.1,1.41,94.5,Conformational,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,Q9HCN6.4,168.18,0.0,Conformational,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,P00740.2,5.62,64.7,Conformational,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,1CDQ_A,31.75,0.0,Mixed,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,6ION_A,10.57,44.4,Conformational,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,6IOM_B,17.21,16.8,Mixed,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,6IOM_A,1.51,88.3,Conformational,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,1CDS_A,6.53,65.8,Linear,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,8SXP_H,1.56,100.0,Mixed,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,8SXP_L,14.53,24.5,Linear,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,4V1D_E,9.66,50.8,Mixed,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,4V1D_D,2.2,82.7,Linear,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,4V1D_B,0.8,93.9,Linear,Multiple CDRs,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,4V1D_A,7.09,64.9,Mixed,CDR-H3,Echis ocellatus
B5U6Y3.1,Snake Venom Serine Protease,1CDR_A,2.44,80.9,Linear,Multiple CDRs,Echis ocellatus
D8MIA0.1,Snake Venom Serine Protease,9MIA_R,29.67,0.0,Linear,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9MIA_H,13.25,23.9,Mixed,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9CU6_J,13.03,30.5,Mixed,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9CU6_G,2.47,81.6,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9CU5_E,20.33,15.0,Conformational,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9CLP_L,4.96,70.5,Linear,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9CLP_H,4.53,66.2,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,9CLP_C,5.48,61.7,Conformational,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,NP_000602.1,16.73,18.8,Conformational,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,P13987.1,73.21,0.0,Mixed,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,Q9HCN6.4,1.49,96.1,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,P00740.2,29.15,0.0,Mixed,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,1CDQ_A,11.76,61.9,Linear,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,6ION_A,3.0,83.7,Linear,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,6IOM_B,20.5,5.6,Mixed,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,6IOM_A,1.96,94.5,Conformational,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,1CDS_A,35.27,0.0,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,8SXP_H,21.98,0.0,Mixed,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,8SXP_L,1.12,92.2,Mixed,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,4V1D_E,13.24,37.7,Linear,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,4V1D_D,13.42,32.5,Linear,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,4V1D_B,23.37,0.0,Linear,CDR-H3,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,4V1D_A,7.96,55.0,Conformational,Multiple CDRs,Bitis rhinoceros
D8MIA0.1,Snake Venom Serine Protease,1CDR_A,4.29,74.1,Linear,Multiple CDRs,Bitis rhinoceros
XP_026547749.1,Cysteine-Rich Secretory Protein,9MII_H,5.57,86.7,Linear,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,9MI0_R,2.09,67.5,Conformational,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,9CU5_K,9.76,42.2,Conformational,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,9CU5_D,13.8,14.6,Linear,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,8U9Y_N,13.04,20.8,Linear,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,9CLP_L,13.79,17.4,Mixed,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,9CLP_H,2.57,88.8,Conformational,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,9CLP_C,10.1,51.6,Conformational,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,NP_000602.1,9.33,57.9,Linear,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,P13987.1,7.82,56.7,Mixed,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,Q9HCN6.4,3.53,77.8,Conformational,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,P00740.2,1.93,97.1,Linear,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,1CDQ_A,2.41,74.2,Conformational,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,6ION_A,2.87,79.8,Linear,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,6IOM_B,5.4,67.3,Conformational,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,6IOM_A,4.79,82.5,Linear,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,1CDS_A,7.49,65.1,Conformational,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,8SXP_H,2.24,73.7,Conformational,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,8SXP_L,4.96,81.0,Linear,CDR-H3,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,4V1D_E,19.17,8.3,Linear,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,4V1D_D,14.7,20.2,Mixed,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,4V1D_B,1.67,78.2,Conformational,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,4V1D_A,3.66,88.6,Conformational,Multiple CDRs,Notechis scutatus
XP_026547749.1,Cysteine-Rich Secretory Protein,1CDR_A,7.46,65.9,Linear,CDR-H3,Notechis scutatus
A8QL57.1,Snake Venom Serine Protease,9MIB_K,5.72,52.7,Linear,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9MIA_H,14.9,18.5,Conformational,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9MI0_L,14.59,22.9,Mixed,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9CU5_K,8.12,54.6,Conformational,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9CLP_L,26.15,0.0,Mixed,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9CLP_L,4.02,71.2,Mixed,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9CLP_H,9.42,71.0,Conformational,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,9CLP_C,45.53,0.0,Mixed,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,NP_000602.1,54.56,0.0,Linear,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,P13987.1,4.79,49.9,Conformational,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,Q9HCN6.4,24.23,0.0,Linear,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,P00740.2,145.14,0.0,Mixed,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,1CDQ_A,2.81,94.6,Mixed,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,6ION_A,12.87,50.0,Mixed,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,6IOM_B,26.06,0.0,Conformational,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,6IOM_A,4.69,92.0,Conformational,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,1CDS_A,1.12,100.0,Conformational,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,8SXP_H,3.19,73.4,Linear,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,8SXP_L,13.4,21.9,Linear,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,4V1D_E,10.86,40.4,Linear,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,4V1D_D,9.28,58.6,Linear,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,4V1D_B,12.12,36.0,Linear,Multiple CDRs,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,4V1D_A,2.54,91.3,Linear,CDR-H3,Bungarus multicinctus
A8QL57.1,Snake Venom Serine Protease,1CDR_A,5.73,81.0,Mixed,Multiple CDRs,Bungarus multicinctus
P17347.3,Snake Venom Metalloproteinase,9MIA_H,54.69,0.0,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,9CU6_D,12.28,42.6,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,9CU5_E,12.63,27.8,Linear,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,8TO9_J,13.35,31.5,Linear,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,9CLP_L,29.14,0.0,Conformational,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,9CLP_H,5.85,59.5,Linear,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,9CLP_C,2.81,79.4,Linear,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,NP_000602.1,4.19,83.3,Mixed,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,NP_001265042.1,2.38,79.4,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,P13987.1,1.62,88.7,Linear,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,NP_001424713.1,0.92,76.1,Linear,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,Q9HCN6.4,14.25,36.6,Conformational,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,P00740.2,2.86,87.7,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,1CDQ_A,20.23,0.0,Mixed,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,6ION_A,13.87,47.9,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,6IOM_B,35.95,0.0,Mixed,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,6IOM_A,8.7,69.4,Linear,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,1CDS_A,6.16,79.0,Linear,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,NP_001265043.1,2.91,83.5,Conformational,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,NP_001455.3,56.43,0.0,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,8SXP_H,1.54,83.0,Conformational,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,8SXP_L,6.77,61.6,Linear,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,4V1D_E,8.36,52.4,Conformational,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,4V1D_D,12.76,21.1,Conformational,CDR-H3,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,4V1D_B,5.26,61.6,Mixed,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,4V1D_A,5.71,78.9,Linear,Multiple CDRs,Echis carinatus sochureki
P17347.3,Snake Venom Metalloproteinase,1CDR_A,1.34,100.0,Mixed,Multiple CDRs,Echis carinatus sochureki
KAG8124480.1,Cysteine-Rich Secretory Protein,9MIH_L,42.39,0.0,Linear,Multiple CDRs,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,9MI0_K,12.93,36.8,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,9CU6_G,15.42,37.9,Linear,Multiple CDRs,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,9CU5_E,6.23,77.5,Linear,Multiple CDRs,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,8TO9_J,5.65,68.4,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,9CLP_L,7.59,43.0,Mixed,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,9CLP_H,3.6,83.2,Mixed,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,9CLP_C,6.65,54.9,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,NP_000602.1,19.34,1.3,Conformational,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,P13987.1,7.57,59.4,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,Q9HCN6.4,4.85,73.9,Mixed,Multiple CDRs,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,P00740.2,6.62,63.3,Mixed,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,1CDQ_A,4.98,69.8,Mixed,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,6ION_A,10.16,45.0,Linear,Multiple CDRs,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,6IOM_B,30.22,0.0,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,6IOM_A,28.79,0.0,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,1CDS_A,33.4,0.0,Mixed,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,8SXP_H,12.4,45.6,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,8SXP_L,5.58,68.6,Mixed,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,4V1D_E,11.02,49.8,Conformational,Multiple CDRs,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,4V1D_D,2.74,85.8,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,4V1D_B,7.17,78.4,Conformational,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,4V1D_A,0.74,96.9,Linear,CDR-H3,Naja naja
KAG8124480.1,Cysteine-Rich Secretory Protein,1CDR_A,10.78,37.3,Linear,CDR-H3,Naja naja
AAL54896.1,Cysteine-Rich Secretory Protein,9MIB_R,1.9,100.0,Mixed,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,9CU6_F,1.25,96.0,Linear,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,9CLP_L,19.97,5.1,Conformational,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,9CLP_H,4.85,77.7,Conformational,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,9CLP_C,0.95,100.0,Mixed,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,NP_000602.1,2.85,96.6,Linear,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,P13987.1,44.76,0.0,Linear,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,Q9HCN6.4,6.81,79.2,Mixed,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,P00740.2,28.48,0.0,Conformational,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,1CDQ_A,14.69,33.1,Conformational,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,6ION_A,6.94,76.0,Linear,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,6IOM_B,11.39,59.0,Linear,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,6IOM_A,4.18,86.1,Mixed,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,1CDS_A,5.67,62.9,Linear,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,8SXP_H,5.99,63.4,Mixed,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,8SXP_L,14.46,18.4,Mixed,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,4V1D_E,7.13,40.6,Conformational,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,4V1D_D,1.97,93.7,Mixed,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,4V1D_B,2.58,73.9,Mixed,Multiple CDRs,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,4V1D_A,13.26,26.6,Linear,CDR-H3,Hydrophis hardwickii
AAL54896.1,Cysteine-Rich Secretory Protein,1CDR_A,21.12,0.0,Mixed,CDR-H3,Hydrophis hardwickii
E0Y418.1,Snake Venom Serine Protease,9MII_H,6.94,75.7,Linear,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9MIA_N,5.06,70.3,Mixed,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9CU6_J,7.13,55.3,Linear,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9B7V_L,45.99,0.0,Mixed,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9B7V_H,6.38,67.7,Mixed,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9CLP_L,5.1,64.2,Conformational,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9CLP_H,5.78,63.7,Conformational,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,9CLP_C,4.02,71.1,Linear,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,NP_000602.1,22.4,0.0,Mixed,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,P13987.1,9.01,80.3,Conformational,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,Q9HCN6.4,26.18,0.0,Conformational,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,P00740.2,6.69,74.3,Conformational,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,1CDQ_A,19.2,1.5,Linear,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,6ION_A,3.75,100.0,Linear,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,6IOM_B,13.31,45.5,Mixed,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,6IOM_A,4.39,82.6,Conformational,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,1CDS_A,9.33,61.8,Linear,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,8SXP_H,33.77,0.0,Linear,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,8SXP_L,3.8,79.7,Mixed,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,4V1D_E,3.94,67.2,Linear,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,4V1D_D,0.86,91.3,Mixed,Multiple CDRs,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,4V1D_B,3.95,72.3,Mixed,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,4V1D_A,5.36,85.5,Mixed,CDR-H3,Macrovipera lebetinus
E0Y418.1,Snake Venom Serine Protease,1CDR_A,13.73,38.1,Conformational,CDR-H3,Macrovipera lebetinus
P0C6R9.2,Snake Venom Metalloproteinase,9MIH_L,36.06,0.0,Mixed,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9MIB_R,59.92,0.0,Conformational,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9CU6_F,17.25,3.7,Mixed,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9CU5_J,1.93,79.5,Linear,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9B7R_H,5.16,71.6,Mixed,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9CLP_L,33.44,0.0,Conformational,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9CLP_H,8.27,45.7,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,9CLP_C,11.58,44.4,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,NP_000602.1,22.89,0.0,Linear,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,NP_001265042.1,8.97,60.9,Linear,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,P13987.1,3.87,91.4,Conformational,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,NP_001424713.1,10.0,59.3,Mixed,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,Q9HCN6.4,2.87,81.5,Conformational,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,P00740.2,5.23,89.0,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,1CDQ_A,9.47,41.5,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,6ION_A,6.93,64.0,Conformational,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,6IOM_B,16.83,0.0,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,6IOM_A,10.97,34.2,Mixed,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,1CDS_A,21.03,12.4,Mixed,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,NP_001265043.1,20.6,0.0,Conformational,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,NP_001455.3,6.84,56.0,Linear,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,8SXP_H,10.51,37.6,Conformational,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,8SXP_L,1.47,70.7,Conformational,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,4V1D_E,14.97,17.6,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,4V1D_D,7.18,59.3,Mixed,Multiple CDRs,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,4V1D_B,4.56,65.2,Linear,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,4V1D_A,9.06,63.7,Mixed,CDR-H3,Bothrops alternatus
P0C6R9.2,Snake Venom Metalloproteinase,1CDR_A,6.85,65.5,Mixed,CDR-H3,Bothrops alternatus
KAG8124483.1,Cysteine-Rich Secretory Protein,9MI0_K,13.66,26.9,Mixed,Multiple CDRs,Naja naja
KAG8124483.1,Cysteine-Rich Secretory Protein,9CU6_F,0.99,96.8,Linear,Multiple CDRs,Naja naja
KAG8124483.1,Cysteine-Rich Secretory Protein,9CU6_E,9.78,52.7,Mixed,Multiple CDRs,Naja naja
KAG8124483.1,Cysteine-Rich Secretory Protein,9CU5_G,107.16,0.0,Conformational,CDR-H3,Naja naja
KAG8124483.1,Cysteine-Rich Secretory Protein,9CU5_D,22.16,0.0,Linear,Multiple CDRs,Naja naja
KAG8124483.1,Cysteine-Rich Secretory Protein,9CLP_L,23.63,0.0,Linear,Multiple CDRs,Naja naja
KAG8124483.1,Cysteine-Rich Secretory Protein,9CLP_H,3.19,77.1,Linear,Multiple CDRs,Naja naja
